Date,NewCases,Weekday
2021-05-16,1853,Sunday
2021-05-17,2764,Monday
2021-05-18,2707,Tuesday
2021-05-19,2712,Wednesday
2021-05-20,2425,Thursday
2021-05-21,2293,Friday
2021-05-22,1925,Saturday
2021-05-23,2240,Sunday
2021-05-24,3236,Monday
2021-05-25,3305,Tuesday
2021-05-26,3799,Wednesday
2021-05-27,3637,Thursday
2021-05-28,3490,Friday
2021-05-29,2932,Saturday
2021-05-30,3095,Sunday
2021-05-31,3782,Monday
2021-06-01,5234,Tuesday
2021-06-02,6048,Wednesday
2021-06-03,6099,Thursday
2021-06-04,5705,Friday
2021-06-05,4622,Saturday
2021-06-06,5404,Sunday
2021-06-07,7743,Monday
2021-06-08,7674,Tuesday
2021-06-09,7999,Wednesday
2021-06-10,7838,Thursday
2021-06-11,7440,Friday
2021-06-12,6114,Saturday
2021-06-13,6953,Sunday
2021-06-14,10103,Monday
2021-06-15,10493,Tuesday
2021-06-16,10775,Wednesday
2021-06-17,10774,Thursday
2021-06-18,10058,Friday
2021-06-19,8253,Saturday
2021-06-20,9873,Sunday
2021-06-21,15951,Monday
2021-06-22,17000,Tuesday
2021-06-23,17904,Wednesday
2021-06-24,18296,Thursday
2021-06-25,17768,Friday
2021-06-26,15966,Saturday
2021-06-27,18125,Sunday
2021-06-28,27743,Monday
2021-06-29,27589,Tuesday
2021-06-30,28327,Wednesday
2021-07-01,28104,Thursday
2021-07-02,25770,Friday
2021-07-03,23555,Saturday
2021-07-04,24666,Sunday
2021-07-05,34178,Monday
2021-07-06,35361,Tuesday
2021-07-07,37806,Wednesday
2021-07-08,33338,Thursday
2021-07-09,32214,Friday
2021-07-10,27863,Saturday
2021-07-11,30008,Sunday
2021-07-12,43610,Monday
2021-07-13,46705,Tuesday
2021-07-14,53782,Wednesday
2021-07-15,60700,Thursday
2021-07-16,54200,Friday
2021-07-17,37820,Saturday
2021-07-18,35470,Sunday
2021-07-19,46839,Monday
