SA22018_V1_00,SA22018_V1_00_NAME,LAND_AREA_SQ_KM,AREA_SQ_KM
100100,North Cape,826.7851221,826.7851221
100200,Rangaunu Harbour,272.1040531,272.1040531
100400,Karikari Peninsula,174.1808159,174.1808159
100500,Tangonge,177.2043427,177.2043427
100600,Ahipara,4.5292775,4.5292775
100700,Kaitaia East,5.26631029,5.26631029
100800,Kaitaia West,3.21185052,3.21185052
100900,Rangitihi,84.66042662,84.66042662
101000,Oruru-Parapara,103.2807276,103.2807276
101100,Taumarumaru,10.2297234,10.2297234
101200,Herekino-Takahue,303.6909178,303.6909178
101300,Peria,199.6905844,199.6905844
101400,Taemaro-Oruaiti,156.7342717,156.7342717
101500,Whakapaku,200.873432,200.873432
101600,Hokianga North,345.9352223,345.9352223
101700,Kohukohu-Broadwood,209.1992426,209.1992426
101800,Whakarara,169.4914373,169.4914373
101900,Kaeo,255.579775,255.579775
102000,Omahuta Forest-Horeke,463.5491524,463.5491524
102100,Hokianga South,126.0874548,126.0874548
102200,Lake Manuwai-Kapiro,59.06085734,59.06085734
102300,Okaihau,147.5902767,160.0197124
102400,Rangitane-Purerua,123.1864558,123.1864558
102500,Waipapa,9.15899721,9.15899721
102600,Puketotara,55.26424098,55.26424098
102700,Waima Forest,236.9951698,236.9951698
102800,Riverview,6.21930008,6.21930008
102900,Waipoua Forest,277.8080148,277.8080148
103000,Kerikeri Central,3.71173696,3.71173696
103100,Kerikeri South,15.46843227,15.46843227
103200,Ohaeawai-Waimate North,87.40452306,87.40452306
103300,Puketona-Waitangi,156.3849297,156.3849297
103400,Ngapuhi,175.3900941,175.3900941
103500,Kaikohe,5.67512268,5.67512268
103600,Pakaraka,72.33748195,72.33748195
103700,Haruru,1.52772435,1.52772435
103800,Russell,3.27931477,3.27931477
103900,Paihia,2.2421089,2.2421089
104000,Mataraua Forest,272.9269353,272.9269353
104100,Matawaia-Taumarere,410.6837121,410.6837121
104200,Russell Peninsula,26.20135237,26.20135237
104300,Opua (Far North District),5.62247307,5.62247307
104400,Russell Forest-Rawhiti,191.3795095,191.3795095
104500,Moerewa,1.87566952,1.87566952
104600,Kawakawa,1.73247964,1.73247964
104700,Maromaku,238.3086231,238.3086231
104800,Mangakahia-Hukerenui,658.547061,658.547061
104900,Whangaruru,469.3520103,469.3520103
105100,Matarau,108.385939,108.385939
105200,Hikurangi,4.0002501,4.0002501
105300,Kauri,56.10398784,56.10398784
105400,Maungatapere,174.4796257,174.4796257
105500,Kamo West,4.49900752,4.49900752
105600,Matapouri-Tutukaka,78.46534341,78.46534341
105700,Kiripaka,72.06743057,72.06743057
105800,Kamo East,1.42716225,1.42716225
105900,Granfield Reserve,1.66090904,1.66090904
106000,Kamo Central,1.09354706,1.09354706
106100,Whau Valley,7.18025885,7.18025885
106200,Tikipunga North,2.74100722,2.74100722
106300,Pukenui,19.19103565,19.19103565
106400,Otangarei,1.03955837,1.03955837
106500,Tikipunga South,2.74033953,2.74033953
106600,Kensington (Whangarei District),3.11118529,3.11118529
106700,Abbey Caves-Glenbervie,32.11865017,32.11865017
106800,Mairtown,0.94419075,0.94419075
106900,Maunu-Horahora,4.29745554,4.29745554
107000,Woodhill-Vinetown,1.38522205,1.38522205
107100,Whangarei Central,2.81299371,2.81299371
107200,Riverside,3.50780578,3.50780578
107300,Raumanga,3.46035972,3.46035972
107400,Tarewa,0.94067805,0.94067805
107500,Morningside (Whangarei District),1.20188251,1.20188251
107600,Ngunguru,3.56520869,3.56520869
107700,Otaika-Portland,41.34127459,41.34127459
107800,Oakleigh-Mangapai,323.7810065,323.7810065
107900,Port-Limeburners,7.41161121,7.41161121
108000,Pataua,128.5872606,128.5872606
108100,Onerahi Park,1.9996437,1.9996437
108200,Sherwood Rise,1.30633937,1.30633937
108300,Onerahi,2.29421222,2.29421222
108500,Parua Bay,39.0954391,39.0954391
108600,Bream Bay,235.3179838,235.3179838
108700,Marsden Bay,6.10249454,6.10249454
108800,Ruakaka,15.79852036,15.79852036
108900,Bream Head,52.18004192,52.18004192
109000,Waipu,136.5945864,136.5945864
109100,Kaipara Coastal,1248.06199,1248.06199
109200,Maungaru,691.9661207,691.9661207
109300,Dargaville,12.55839585,12.55839585
109400,Ruawai-Matakohe,530.4440327,530.4440327
109500,Otamatea (Kaipara District),244.8915893,244.8915893
109600,Maungaturoto,21.59969701,21.59969701
109700,Kaiwaka,259.0259184,259.0259184
109800,Mangawhai Rural,91.18003775,91.18003775
109900,Mangawhai Heads,6.98889597,6.98889597
110100,Mangawhai,1.99427586,1.99427586
110200,Okahukura Peninsula,211.180813,211.180813
110400,Cape Rodney,370.6477425,370.6477425
110500,Wellsford,4.55282827,4.55282827
110700,South Head,339.7938971,339.7938971
110800,Kaipara Hills,282.5973812,282.5973812
110900,Dome Valley-Matakana,84.7499658,84.7499658
111100,Warkworth West,11.35975247,11.35975247
111200,Puhoi Valley,236.5299646,236.5299646
111300,Warkworth East,4.21863402,4.21863402
111400,Sandspit,22.43923564,22.43923564
111500,Tawharanui Peninsula,46.6707281,46.6707281
111600,Te Kuru,80.93043952,80.93043952
111700,Snells Beach,3.82725987,3.82725987
111800,Barrier Islands,320.4141008,320.4141008
111900,Algies Bay-Scotts Landing,15.36828354,15.36828354
112100,Wainui-Waiwera,78.7150854,78.7150854
112200,Parakai,1.45487644,1.45487644
112300,Helensville Rural,56.91997862,56.91997862
112400,Helensville,3.36590766,3.36590766
112500,Waitoki,40.75529776,40.75529776
112600,Waikoukou Valley,52.8545831,52.8545831
112700,Orewa North,3.0420543,3.0420543
112800,Hatfields Beach,0.92325487,0.92325487
112900,Orewa South,2.31160628,2.31160628
113000,Orewa Central,1.45284321,1.45284321
113100,Millwater North,1.75217359,1.75217359
113200,Waipatukahu,52.05879697,52.05879697
113300,Millwater South,2.41113494,2.41113494
113400,Dairy Flat North,22.96899967,22.96899967
113500,Dairy Flat West,30.97978859,30.97978859
113600,Kingsway,0.9031104,0.9031104
113700,Riverhead Forest,48.42763587,48.42763587
113800,Silverdale Central (Auckland),3.36140307,3.36140307
113900,Red Beach West,1.83998367,1.83998367
114000,Red Beach East,1.56444435,1.56444435
114100,Silverdale South (Auckland),10.18954365,10.18954365
114200,Waimauku,5.63314315,5.63314315
114300,Gulf Islands,66.09614073,66.09614073
114400,Vipond,1.38113819,1.38113819
114500,Muriwai,3.01225115,3.01225115
114600,Stanmore Bay West,0.98684481,0.98684481
114700,Kumeu Rural West,24.43335565,24.43335565
114800,Okura Bush,28.98872701,28.98872701
114900,Whangaparoa Central,3.6915778,3.6915778
115000,Kumeu-Huapai,6.3210669,6.3210669
115100,Stanmore Bay East,1.33781837,1.33781837
115200,Manly West,1.0323979,1.0323979
115300,Muriwai Valley-Bethells Beach,35.35470719,35.35470719
115400,Tindalls-Matakatia,2.93347637,2.93347637
115500,Coatesville,24.36637718,24.36637718
115600,Dairy Flat South,15.21709972,15.21709972
115700,Gulf Harbour North,1.75709588,1.75709588
115800,Manly East,1.57463079,1.57463079
115900,Riverhead,4.05197196,4.05197196
116000,Army Bay,6.21560447,6.21560447
116100,Kumeu Rural East,14.92218201,14.92218201
116200,Gulf Harbour South,2.42885442,2.42885442
116300,Paremoremo West,9.47118767,9.47118767
116400,Taupaki,27.20363525,27.20363525
116500,Long Bay,2.78715748,2.78715748
116600,Paremoremo East,11.60727229,11.60727229
116700,Albany Heights,3.10401049,3.10401049
116800,Awaruku,1.52194123,1.52194123
116900,Fairview Heights,1.60195262,1.60195262
117000,Whenuapai,19.68007147,19.68007147
117100,Waitakere Ranges North,86.79304966,86.79304966
117200,Torbay,1.43387594,1.43387594
117300,Albany Central,3.21005397,3.21005397
117400,Albany West,2.05684939,2.05684939
117500,Glamorgan,0.95916761,0.95916761
117600,Oteha East,0.7675859,0.7675859
117700,Northcross,1.07045666,1.07045666
117800,Oteha West,0.52993903,0.52993903
117900,Waiake,1.24892146,1.24892146
118000,Waitakere,15.29077813,15.29077813
118100,Albany South,1.48565737,1.48565737
118200,Browns Bay South West,1.15033555,1.15033555
118300,Browns Bay Central,1.18361569,1.18361569
118400,Schnapper Rock,2.21506546,2.21506546
118500,Pinehill,1.62934248,1.62934248
118600,North Harbour,5.48639767,5.48639767
118700,Browns Bay South East,0.85629308,0.85629308
118800,Westgate Central,1.8634158,1.8634158
118900,Greenhithe West,2.72201146,2.72201146
119000,Rothesay Bay,0.86585503,0.86585503
119100,Greenhithe East,1.4377182,1.4377182
119200,Hobsonville,2.17407942,2.17407942
119400,Greenhithe South,3.64452286,3.64452286
119500,Murrays Bay West,0.95565783,0.95565783
119600,Westgate South,1.70943132,1.70943132
119700,Windsor Park,0.8358418,0.8358418
119800,West Harbour West,1.96049692,1.96049692
119900,Unsworth Heights West,0.74886125,0.74886125
120000,Murrays Bay East,0.69854186,0.69854186
120100,Birdwood West,5.93628175,5.93628175
120200,Hobsonville Point,3.53881189,3.53881189
120300,West Harbour Clearwater Cove,1.35746453,1.35746453
120400,Unsworth Heights East,1.10807496,1.10807496
120500,Mairangi Bay North,0.92453074,0.92453074
120600,Massey Central,0.88452792,0.88452792
120700,West Harbour Luckens Point,0.9837843,0.9837843
120800,Mairangi Bay South,0.80141814,0.80141814
120900,Massey Royal Road West,0.89641575,0.89641575
121000,Bayview East,1.3746752,1.3746752
121100,Swanson Rural,15.14912979,15.14912979
121200,Sunnynook South,0.80161344,0.80161344
121300,Sunnynook North,0.74464289,0.74464289
121400,Bayview West,0.73414884,0.73414884
121500,Totara Vale North,0.86679243,0.86679243
121600,Royal Heights North,1.4951159,1.4951159
