date,number,index,m,real_m
1990-03-31T00:00:00Z,22856,477,123000,1790
1990-06-30T00:00:00Z,22685,480,125000,2043
1990-09-30T00:00:00Z,20175,483,126000,1873
1990-12-31T00:00:00Z,17476,482,126000,1985
1991-03-31T00:00:00Z,17331,479,124000,1567
1991-06-30T00:00:00Z,17898,470,123000,1626
1991-09-30T00:00:00Z,17774,468,125000,1541
1991-12-31T00:00:00Z,16785,466,125000,1684
1992-03-31T00:00:00Z,18656,468,125000,1498
1992-06-30T00:00:00Z,18561,467,127000,1701
1992-09-30T00:00:00Z,18937,470,128000,1576
1992-12-31T00:00:00Z,18637,477,129000,1757
1993-03-31T00:00:00Z,19953,481,131000,1555
1993-06-30T00:00:00Z,20439,482,133000,1887
1993-09-30T00:00:00Z,23891,491,136000,1979
1993-12-31T00:00:00Z,25498,503,140000,2090
1994-03-31T00:00:00Z,29856,520,148000,1793
1994-06-30T00:00:00Z,27805,536,154000,2274
1994-09-30T00:00:00Z,26712,554,160000,2271
1994-12-31T00:00:00Z,24298,572,164000,2248
1995-03-31T00:00:00Z,23429,579,168000,2013
1995-06-30T00:00:00Z,24496,585,172000,2361
1995-09-30T00:00:00Z,26173,599,177000,2145
1995-12-31T00:00:00Z,27296,621,183000,2285
1996-03-31T00:00:00Z,34592,653,192000,2088
1996-06-30T00:00:00Z,25082,663,196000,2379
1996-09-30T00:00:00Z,22894,662,197000,2221
1996-12-31T00:00:00Z,26427,680,201000,2435
1997-03-31T00:00:00Z,29128,696,209000,2281
1997-06-30T00:00:00Z,27135,702,215000,2486
1997-09-30T00:00:00Z,25186,706,218000,2508
1997-12-31T00:00:00Z,24388,715,221000,2531
1998-03-31T00:00:00Z,21158,709,220000,2067
1998-06-30T00:00:00Z,18362,688,218000,2203
1998-09-30T00:00:00Z,20562,677,219000,2016
1998-12-31T00:00:00Z,24751,690,221000,2153
1999-03-31T00:00:00Z,26124,701,223000,1969
1999-06-30T00:00:00Z,24264,705,226000,2284
1999-09-30T00:00:00Z,23186,706,227000,2439
1999-12-31T00:00:00Z,22028,705,227000,2525
2000-03-31T00:00:00Z,22885,705,229000,2706
2000-06-30T00:00:00Z,19731,698,229000,2298
2000-09-30T00:00:00Z,18442,697,232000,2386
2000-12-31T00:00:00Z,18370,697,232000,2099
2001-03-31T00:00:00Z,22738,701,236000,1848
