DHB,Date,Age,Eligible,Immunised
Auckland,2009-07-01,12 months,1645,1442
Auckland,2009-07-01,18 months,1712,1197
Auckland,2009-07-01,24 months,1538,1230
Auckland,2009-07-01,6 months,1680,1154
Auckland,2010-01-01,12 months,1670,1468
Auckland,2010-01-01,18 months,1598,1261
Auckland,2010-01-01,24 months,1700,1431
Auckland,2010-01-01,6 months,1633,1226
Auckland,2010-04-01,12 months,1731,1550
Auckland,2010-04-01,18 months,1640,1194
Auckland,2010-04-01,24 months,1617,1369
Auckland,2010-04-01,6 months,1708,1194
Auckland,2010-07-01,12 months,1614,1458
Auckland,2010-07-01,18 months,1653,1158
Auckland,2010-07-01,24 months,1580,1376
Auckland,2010-07-01,5 years,676,446
Auckland,2010-07-01,6 months,1781,1259
Auckland,2010-10-01,12 months,1682,1535
Auckland,2010-10-01,18 months,1700,1320
Auckland,2010-10-01,24 months,1610,1406
Auckland,2010-10-01,5 years,1540,1107
Auckland,2010-10-01,6 months,1644,1207
Auckland,2011-01-01,12 months,1759,1624
Auckland,2011-01-01,18 months,1593,1232
Auckland,2011-01-01,24 months,1630,1417
Auckland,2011-01-01,5 years,1556,1105
Auckland,2011-01-01,6 months,1595,1193
Auckland,2011-04-01,12 months,1626,1481
Auckland,2011-04-01,18 months,1673,1321
Auckland,2011-04-01,24 months,1706,1497
Auckland,2011-04-01,5 years,1507,1114
Auckland,2011-04-01,6 months,1729,1264
Auckland,2011-07-01,12 months,1598,1483
Auckland,2011-07-01,18 months,1724,1462
Auckland,2011-07-01,24 months,1560,1433
Auckland,2011-07-01,5 years,1526,1186
Auckland,2011-07-01,6 months,1714,1300
Auckland,2011-10-01,12 months,1721,1597
Auckland,2011-10-01,18 months,1605,1354
Auckland,2011-10-01,24 months,1653,1507
Auckland,2011-10-01,5 years,1560,1224
Auckland,2011-10-01,6 months,1653,1282
Auckland,2011-12-31,12 months,1686,1574
Auckland,2011-12-31,18 months,1531,1343
Auckland,2011-12-31,24 months,1689,1579
Auckland,2011-12-31,5 years,1557,1268
Auckland,2011-12-31,6 months,1566,1245
Auckland,2012-03-31,12 months,1638,1519
Auckland,2012-03-31,18 months,1633,1400
Auckland,2012-03-31,24 months,1587,1467
Auckland,2012-03-31,5 years,1560,1250
Auckland,2012-03-31,6 months,1682,1307
Auckland,2012-06-30,12 months,1576,1477
Auckland,2012-06-30,18 months,1647,1379
Auckland,2012-06-30,24 months,1515,1446
Auckland,2012-06-30,5 years,1490,1234
Auckland,2012-06-30,6 months,1577,1228
Auckland,2012-09-30,12 months,1680,1571
Auckland,2012-09-30,18 months,1598,1331
Auckland,2012-09-30,24 months,1617,1479
Auckland,2012-09-30,5 years,1641,1305
Auckland,2012-09-30,6 months,1656,1288
Auckland,2012-09-30,8 months,1585,1415
Auckland,2012-12-31,12 months,1564,1460
Auckland,2012-12-31,18 months,1534,1284
Auckland,2012-12-31,24 months,1604,1499
Auckland,2012-12-31,5 years,1631,1312
Auckland,2012-12-31,6 months,1563,1271
Auckland,2012-12-31,8 months,1602,1451
Auckland,2013-03-31,12 months,1641,1546
Auckland,2013-03-31,18 months,1622,1393
Auckland,2013-03-31,24 months,1575,1469
Auckland,2013-03-31,5 years,1584,1223
Auckland,2013-03-31,6 months,1574,1240
Auckland,2013-03-31,8 months,1554,1413
Auckland,2013-06-30,12 months,1580,1486
Auckland,2013-06-30,18 months,1519,1296
Auckland,2013-06-30,24 months,1520,1420
Auckland,2013-06-30,5 years,1514,1199
Auckland,2013-06-30,6 months,1709,1377
Auckland,2013-06-30,8 months,1635,1473
Auckland,2013-09-30,12 months,1577,1487
Auckland,2013-09-30,18 months,1610,1374
Auckland,2013-09-30,24 months,1604,1523
Auckland,2013-09-30,5 years,1555,1219
Auckland,2013-09-30,6 months,1494,1246
Auckland,2013-09-30,8 months,1628,1528
Auckland,2013-12-31,12 months,1722,1649
Auckland,2013-12-31,18 months,1562,1326
Auckland,2013-12-31,24 months,1494,1409
Auckland,2013-12-31,5 years,1596,1247
Auckland,2013-12-31,6 months,1492,1216
Auckland,2013-12-31,8 months,1488,1394
Auckland,2014-03-31,12 months,1499,1436
Auckland,2014-03-31,18 months,1555,1314
Auckland,2014-03-31,24 months,1597,1518
Auckland,2014-03-31,5 years,1604,1251
Auckland,2014-03-31,6 months,1541,1262
Auckland,2014-03-31,8 months,1521,1410
Auckland,2014-06-30,12 months,1488,1419
Auckland,2014-06-30,18 months,1678,1476
Auckland,2014-06-30,24 months,1545,1471
Auckland,2014-06-30,5 years,1515,1200
Auckland,2014-06-30,6 months,1556,1307
Auckland,2014-06-30,8 months,1508,1401
Auckland,2014-09-30,12 months,1549,1481
Auckland,2014-09-30,18 months,1476,1321
Auckland,2014-09-30,24 months,1547,1483
Auckland,2014-09-30,5 years,1590,1298
Auckland,2014-09-30,6 months,1427,1172
Auckland,2014-09-30,8 months,1533,1465
Auckland,2014-12-31,12 months,1576,1528
Auckland,2014-12-31,18 months,1449,1261
Auckland,2014-12-31,24 months,1686,1611
Auckland,2014-12-31,5 years,1677,1361
Auckland,2014-12-31,6 months,1483,1228
Auckland,2014-12-31,8 months,1427,1348
Auckland,2015-03-31,12 months,1443,1376
Auckland,2015-03-31,18 months,1535,1322
Auckland,2015-03-31,24 months,1480,1426
Auckland,2015-03-31,5 years,1551,1254
Auckland,2015-03-31,6 months,1526,1252
Auckland,2015-03-31,8 months,1510,1416
Auckland,2015-06-30,12 months,1500,1428
Auckland,2015-06-30,18 months,1520,1358
Auckland,2015-06-30,24 months,1457,1374
Auckland,2015-06-30,5 years,1514,1269
Auckland,2015-06-30,6 months,1631,1347
Auckland,2015-06-30,8 months,1589,1489
Auckland,2015-09-30,12 months,1524,1462
Auckland,2015-09-30,18 months,1401,1229
Auckland,2015-09-30,24 months,1518,1434
Auckland,2015-09-30,5 years,1590,1311
Auckland,2015-09-30,6 months,1375,1137
Auckland,2015-09-30,8 months,1513,1437
Auckland,2015-12-31,12 months,1643,1573
Auckland,2015-12-31,18 months,1484,1292
Auckland,2015-12-31,24 months,1530,1457
Auckland,2015-12-31,5 years,1564,1298
Auckland,2015-12-31,6 months,1455,1224
Auckland,2015-12-31,8 months,1433,1344
Auckland,2016-03-31,12 months,1388,1317
Auckland,2016-03-31,18 months,1483,1301
Auckland,2016-03-31,24 months,1392,1317
Auckland,2016-03-31,5 years,1542,1302
Auckland,2016-03-31,6 months,1412,1179
Auckland,2016-03-31,8 months,1419,1339
Auckland,2016-06-30,12 months,1473,1419
Auckland,2016-06-30,18 months,1594,1399
Auckland,2016-06-30,24 months,1477,1391
Auckland,2016-06-30,5 years,1493,1287
Auckland,2016-06-30,6 months,1428,1211
Auckland,2016-06-30,8 months,1428,1338
Auckland,2016-09-30,12 months,1409,1341
Auckland,2016-09-30,18 months,1378,1206
Auckland,2016-09-30,24 months,1449,1364
Auckland,2016-09-30,5 years,1526,1316
Auckland,2016-09-30,6 months,1377,1144
Auckland,2016-09-30,8 months,1397,1313
Auckland,2016-12-31,12 months,1430,1364
Auckland,2016-12-31,18 months,1430,1253
Auckland,2016-12-31,24 months,1593,1499
Auckland,2016-12-31,5 years,1473,1264
Auckland,2016-12-31,6 months,1383,1167
Auckland,2016-12-31,8 months,1362,1299
Auckland,2017-03-31,12 months,1380,1331
Auckland,2017-03-31,18 months,1379,1185
Auckland,2017-03-31,24 months,1360,1283
Auckland,2017-03-31,5 years,1514,1295
Auckland,2017-03-31,6 months,1426,1202
Auckland,2017-03-31,8 months,1403,1324
Auckland,2017-06-30,12 months,1366,1318
Auckland,2017-06-30,18 months,1382,1220
Auckland,2017-06-30,24 months,1444,1367
Auckland,2017-06-30,5 years,1476,1281
Auckland,2017-06-30,6 months,1422,1208
Auckland,2017-06-30,8 months,1404,1335
Auckland,2017-09-30,12 months,1435,1375
Auckland,2017-09-30,18 months,1348,1153
Auckland,2017-09-30,24 months,1394,1310
Auckland,2017-09-30,5 years,1488,1266
Auckland,2017-09-30,6 months,1356,1149
Auckland,2017-09-30,8 months,1440,1367
Auckland,2017-12-31,12 months,1436,1376
Auckland,2017-12-31,18 months,1341,1171
Auckland,2017-12-31,24 months,1391,1298
Auckland,2017-12-31,5 years,1639,1402
Auckland,2017-12-31,6 months,1323,1098
Auckland,2017-12-31,8 months,1345,1248
Auckland,2018-03-31,12 months,1383,1317
Auckland,2018-03-31,18 months,1425,1221
Auckland,2018-03-31,24 months,1353,1265
Auckland,2018-03-31,5 years,1426,1257
Auckland,2018-03-31,6 months,1381,1134
Auckland,2018-03-31,8 months,1324,1244
Auckland,2018-06-30,12 months,1334,1254
Auckland,2018-06-30,18 months,1380,1210
Auckland,2018-06-30,24 months,1333,1271
Auckland,2018-06-30,5 years,1409,1193
Auckland,2018-06-30,6 months,1375,1188
Auckland,2018-06-30,8 months,1375,1291
Auckland,2018-09-30,12 months,1396,1328
Auckland,2018-09-30,18 months,1330,1168
Auckland,2018-09-30,24 months,1435,1340
Auckland,2018-09-30,5 years,1496,1284
Auckland,2018-09-30,6 months,1244,1052
Auckland,2018-09-30,8 months,1331,1267
Auckland,2018-12-31,12 months,1385,1331
Auckland,2018-12-31,18 months,1303,1121
Auckland,2018-12-31,24 months,1407,1318
Auckland,2018-12-31,5 years,1456,1268
Auckland,2018-12-31,6 months,1368,1169
Auckland,2018-12-31,8 months,1253,1192
Auckland,2019-03-31,12 months,1261,1186
Auckland,2019-03-31,18 months,1374,1172
Auckland,2019-03-31,24 months,1351,1265
Auckland,2019-03-31,5 years,1355,1176
Auckland,2019-03-31,6 months,1355,1129
Auckland,2019-03-31,8 months,1413,1328
Auckland,2019-06-30,12 months,1364,1303
Auckland,2019-06-30,18 months,1346,1195
Auckland,2019-06-30,24 months,1309,1221
Auckland,2019-06-30,5 years,1446,1289
Auckland,2019-06-30,6 months,1286,1082
Auckland,2019-06-30,8 months,1328,1232
Auckland,2019-09-30,12 months,1390,1304
Auckland,2019-09-30,18 months,1243,1099
Auckland,2019-09-30,24 months,1387,1288
Auckland,2019-09-30,5 years,1430,1255
Auckland,2019-09-30,6 months,1324,1101
Auckland,2019-09-30,8 months,1308,1238
Auckland,2019-12-31,12 months,1321,1259
Auckland,2019-12-31,18 months,1376,1187
Auckland,2019-12-31,24 months,1353,1288
Auckland,2019-12-31,5 years,1551,1369
Auckland,2019-12-31,6 months,1359,1135
Auckland,2019-12-31,8 months,1302,1238
Auckland,2020-03-31,12 months,1334,1279
Auckland,2020-03-31,18 months,1377,1165
Auckland,2020-03-31,24 months,1232,1165
Auckland,2020-03-31,5 years,1331,1208
Auckland,2020-03-31,6 months,1402,1159
Auckland,2020-03-31,8 months,1399,1291
Auckland,2020-06-30,12 months,1338,1285
Auckland,2020-06-30,18 months,1300,1133
Auckland,2020-06-30,24 months,1371,1306
Auckland,2020-06-30,5 years,1347,1229
Auckland,2020-06-30,6 months,1354,1125
Auckland,2020-06-30,8 months,1403,1315
Auckland,2020-09-30,12 months,1396,1321
Auckland,2020-09-30,18 months,1320,1134
Auckland,2020-09-30,24 months,1353,1265
Auckland,2020-09-30,5 years,1314,1156
Auckland,2020-09-30,6 months,1337,1049
Auckland,2020-09-30,8 months,1307,1229
Auckland,2020-12-31,12 months,1357,1299
Auckland,2020-12-31,18 months,1300,1074
Auckland,2020-12-31,24 months,1290,1219
Auckland,2020-12-31,5 years,1356,1202
Auckland,2020-12-31,6 months,1272,1039
Auckland,2020-12-31,8 months,1265,1176
Auckland,2021-03-31,12 months,1307,1227
Auckland,2021-03-31,18 months,1327,1007
Auckland,2021-03-31,24 months,1280,1190
Auckland,2021-03-31,5 years,1271,1103
Auckland,2021-03-31,6 months,1245,987
Auckland,2021-03-31,8 months,1312,1200
Bay of Plenty,2009-07-01,12 months,783,605
Bay of Plenty,2009-07-01,18 months,762,464
Bay of Plenty,2009-07-01,24 months,798,561
Bay of Plenty,2009-07-01,6 months,743,375
Bay of Plenty,2010-01-01,12 months,769,604
Bay of Plenty,2010-01-01,18 months,774,500
Bay of Plenty,2010-01-01,24 months,773,606
Bay of Plenty,2010-01-01,6 months,713,387
Bay of Plenty,2010-04-01,12 months,804,618
Bay of Plenty,2010-04-01,18 months,822,484
Bay of Plenty,2010-04-01,24 months,788,599
Bay of Plenty,2010-04-01,6 months,742,363
Bay of Plenty,2010-07-01,12 months,713,563
Bay of Plenty,2010-07-01,18 months,766,443
Bay of Plenty,2010-07-01,24 months,768,581
Bay of Plenty,2010-07-01,6 months,824,427
Bay of Plenty,2010-10-01,12 months,740,580
Bay of Plenty,2010-10-01,18 months,827,523
Bay of Plenty,2010-10-01,24 months,821,606
Bay of Plenty,2010-10-01,5 years,664,429
Bay of Plenty,2010-10-01,6 months,803,424
Bay of Plenty,2011-01-01,12 months,821,666
Bay of Plenty,2011-01-01,18 months,716,455
Bay of Plenty,2011-01-01,24 months,784,592
Bay of Plenty,2011-01-01,5 years,776,507
Bay of Plenty,2011-01-01,6 months,720,394
Bay of Plenty,2011-04-01,12 months,790,644
Bay of Plenty,2011-04-01,18 months,749,514
Bay of Plenty,2011-04-01,24 months,817,648
Bay of Plenty,2011-04-01,5 years,779,503
Bay of Plenty,2011-04-01,6 months,801,474
Bay of Plenty,2011-07-01,12 months,714,598
Bay of Plenty,2011-07-01,18 months,829,618
Bay of Plenty,2011-07-01,24 months,705,612
Bay of Plenty,2011-07-01,5 years,712,480
Bay of Plenty,2011-07-01,6 months,766,450
Bay of Plenty,2011-10-01,12 months,796,682
Bay of Plenty,2011-10-01,18 months,781,584
Bay of Plenty,2011-10-01,24 months,757,670
Bay of Plenty,2011-10-01,5 years,810,547
Bay of Plenty,2011-10-01,6 months,782,474
Bay of Plenty,2011-12-31,12 months,780,667
Bay of Plenty,2011-12-31,18 months,702,543
Bay of Plenty,2011-12-31,24 months,792,721
Bay of Plenty,2011-12-31,5 years,817,596
Bay of Plenty,2011-12-31,6 months,714,447
Bay of Plenty,2012-03-31,12 months,770,668
Bay of Plenty,2012-03-31,18 months,774,595
Bay of Plenty,2012-03-31,24 months,747,672
Bay of Plenty,2012-03-31,5 years,828,583
Bay of Plenty,2012-03-31,6 months,728,450
Bay of Plenty,2012-06-30,12 months,712,595
Bay of Plenty,2012-06-30,18 months,793,577
Bay of Plenty,2012-06-30,24 months,707,640
Bay of Plenty,2012-06-30,5 years,837,639
Bay of Plenty,2012-06-30,6 months,667,407
Bay of Plenty,2012-09-30,12 months,735,626
Bay of Plenty,2012-09-30,18 months,782,560
Bay of Plenty,2012-09-30,24 months,777,698
Bay of Plenty,2012-09-30,5 years,856,624
Bay of Plenty,2012-09-30,6 months,743,476
Bay of Plenty,2012-09-30,8 months,683,565
Bay of Plenty,2012-12-31,12 months,672,606
Bay of Plenty,2012-12-31,18 months,720,517
Bay of Plenty,2012-12-31,24 months,789,696
Bay of Plenty,2012-12-31,5 years,812,595
Bay of Plenty,2012-12-31,6 months,772,524
Bay of Plenty,2012-12-31,8 months,732,614
Bay of Plenty,2013-03-31,12 months,743,667
Bay of Plenty,2013-03-31,18 months,758,547
Bay of Plenty,2013-03-31,24 months,783,688
Bay of Plenty,2013-03-31,5 years,796,470
Bay of Plenty,2013-03-31,6 months,752,546
Bay of Plenty,2013-03-31,8 months,771,677
Bay of Plenty,2013-06-30,12 months,768,688
Bay of Plenty,2013-06-30,18 months,698,518
Bay of Plenty,2013-06-30,24 months,717,629
Bay of Plenty,2013-06-30,5 years,805,550
Bay of Plenty,2013-06-30,6 months,765,560
Bay of Plenty,2013-06-30,8 months,781,693
Bay of Plenty,2013-09-30,12 months,759,703
Bay of Plenty,2013-09-30,18 months,763,547
Bay of Plenty,2013-09-30,24 months,737,650
Bay of Plenty,2013-09-30,5 years,842,576
Bay of Plenty,2013-09-30,6 months,717,505
Bay of Plenty,2013-09-30,8 months,742,652
Bay of Plenty,2013-12-31,12 months,765,694
Bay of Plenty,2013-12-31,18 months,768,568
Bay of Plenty,2013-12-31,24 months,691,620
Bay of Plenty,2013-12-31,5 years,791,557
Bay of Plenty,2013-12-31,6 months,685,459
Bay of Plenty,2013-12-31,8 months,714,619
Bay of Plenty,2014-03-31,12 months,734,665
