"EweTag","EweFeed","EweBodyConditionScore","LambTag","DateOfBirth","Paddock","Sex","WeaningWeight"
1,"H","2.5",321,15,"I","Ewe",29
1,"H","2.5",322,15,"I","Ewe",23
2,"L","3",315,14,"B","Ram",31
2,"L","3",316,14,"B","Ewe",32
3,"H","2.5",559,17,"K","Ewe",27
3,"H","2.5",560,17,"K","Ram",NA
4,"L","2",162,7,"A","Ewe",24.5
4,"L","2",163,7,"A","Ewe",24
5,"H","3",97,9,"I","Ram",33.5
5,"H","3",98,9,"I","Ram",31
6,"M","2.5",561,17,"G","Ewe",NA
6,"M","2.5",600,17,"G","Ewe",33
7,"L","2.5",297,13,"A","Ram",NA
7,"L","2.5",298,13,"A","Ram",NA
9,"M","3",405,14,"G","Ewe",30
9,"M","3",406,14,"G","Ewe",32
10,"M","2",336,12,"G","Ewe",25.5
10,"M","2",337,12,"G","Ram",25.5
11,"L","3",122,5,"B","Ram",31.5
11,"L","3",123,5,"B","Ewe",26
12,"H","2.5",156,7,"K","Ram",39
12,"H","2.5",157,7,"K","Ram",35
13,"M","2.5",295,13,"G","Ewe",27.5
13,"M","2.5",296,13,"G","Ram",31
14,"L","2.5",433,16,"D","Ram",28.5
14,"L","2.5",434,16,"D","Ewe",25.5
15,"H","2.5",530,19,"J","Ram",33
15,"H","2.5",531,19,"J","Ewe",28.5
16,"L","2",562,18,"D","Ram",28.5
16,"L","2",563,18,"D","Ewe",22
17,"L","3",596,17,"C","Ram",31.5
17,"L","3",597,17,"C","Ewe",NA
18,"M","3",138,6,"E","Ewe",32
18,"M","3",139,6,"E","Ewe",32
19,"H","3",99,9,"J","Ewe",31.5
19,"H","3",100,9,"J","Ram",34.5
21,"M","2.5",344,13,"E","Ewe",28.5
21,"M","2.5",345,13,"E","Ram",31.5
22,"H","2",488,20,"J","Ram",28
22,"H","2",489,20,"J","Ewe",28.5
23,"H","2.5",219,10,"J","Ram",37
23,"H","2.5",220,10,"J","Ram",35
24,"L","3",332,12,"C","Ewe",26
24,"L","3",333,12,"C","Ram",28
25,"M","2",275,12,"E","Ewe",14
25,"M","2",276,12,"E","Ram",14.5
26,"M","2",226,8,"G","Ewe",29
26,"M","2",227,8,"G","Ewe",30
27,"H","2",291,13,"L","Ewe",26
27,"H","2",292,13,"L","Ram",33.5
28,"H","3",417,14,"L","Ram",31.5
28,"H","3",418,14,"L","Ram",31
29,"M","2.5",499,18,"F","Ram",24.5
29,"M","2.5",500,18,"F","Ram",28.5
30,"H","2.5",486,19,"I","Ewe",30.5
30,"H","2.5",487,19,"I","Ram",27
31,"M","2",479,18,"F","Ram",34.5
31,"M","2",480,18,"F","Ram",NA
32,"H","3",16,3,"K","Ram",NA
32,"H","3",17,3,"K","Ewe",NA
33,"M","2.5",1,1,"E","Ram",38
33,"M","2.5",2,1,"E","Ram",NA
34,"L","2",423,15,"D","Ram",27
34,"L","2",424,15,"D","Ram",27.5
35,"L","2.5",199,10,"D","Ram",34.5
35,"L","2.5",200,10,"D","Ewe",22
36,"M","2",73,7,"H","Ewe",29.5
36,"M","2",74,7,"H","Ewe",29.5
37,"M","2",42,6,"H","Ram",31.5
37,"M","2",43,6,"H","Ewe",30
39,"H","3",255,11,"I","Ewe",31.5
39,"H","3",256,11,"I","Ram",33.5
40,"L","2.5",566,18,"C","Ram",25.5
40,"L","2.5",567,18,"C","Ram",24.5
41,"M","2.5",55,6,"G","Ewe",31.5
41,"M","2.5",56,6,"G","Ram",27.5
42,"M","2.5",207,9,"F","Ram",NA
42,"M","2.5",208,9,"F","Ram",30
43,"M","3",178,8,"H","Ewe",28
43,"M","3",179,8,"H","Ewe",28.5
44,"L","2",376,13,"C","Ram",32
44,"L","2",377,13,"C","Ram",27
45,"M","2",413,14,"H","Ram",28.5
45,"M","2",414,14,"H","Ram",15.5
46,"H","2.5",501,16,"I","Ram",30.5
46,"H","2.5",502,16,"I","Ram",30.5
47,"M","2.5",172,8,"G","Ewe",32
47,"M","2.5",173,8,"G","Ewe",22.5
48,"L","3",251,10,"B","Ewe",27.5
48,"L","3",252,10,"B","Ram",30
