word,day_of,hour_of,value
scandal,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,-3
save,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
highlight,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
reliant,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
rescue,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
wow,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,4
supporters,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,1
tolerant,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
compassionate,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
disgusting,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,-3
supporters,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,1
disgrace,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,-2
hope,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
defeated,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,-2
hoping,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
care,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,2
leaked,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,-1
leaked,2020-07-14T00:00:00Z,2020-07-14T03:00:00Z,-1
wrong,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
trusted,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
fear,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
wrong,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
death,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
fear,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
trusted,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
smiling,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
lowest,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-1
misinformation,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
fake,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-3
advantage,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
fear,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
won,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,3
benefit,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
flu,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
resigns,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-1
failures,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
failures,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
stop,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-1
dirty,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
pretending,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-1
missed,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
humiliation,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-3
won,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,3
motivated,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
attacks,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-1
strong,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
illegal,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-3
true,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
yeah,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,1
worst,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-3
amazing,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,4
inspire,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
commitment,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,2
criticism,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
resigned,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-1
banned,2020-07-14T00:00:00Z,2020-07-14T04:00:00Z,-2
