Timeperiod,Direction,WeekDay,Hour,Count
Before times,From City,Sunday,0,0.2
Before times,From City,Sunday,1,0
Before times,From City,Sunday,2,0
Before times,From City,Sunday,3,0
Before times,From City,Sunday,4,0.06666666666666667
Before times,From City,Sunday,5,0.4666666666666667
Before times,From City,Sunday,6,4.6
Before times,From City,Sunday,7,9.733333333333333
Before times,From City,Sunday,8,15.2
Before times,From City,Sunday,9,21.933333333333334
Before times,From City,Sunday,10,28.066666666666666
Before times,From City,Sunday,11,27.4
Before times,From City,Sunday,12,20.533333333333335
Before times,From City,Sunday,13,22.6
Before times,From City,Sunday,14,25.4
Before times,From City,Sunday,15,26
Before times,From City,Sunday,16,20.266666666666666
Before times,From City,Sunday,17,11.6
Before times,From City,Sunday,18,5.666666666666667
Before times,From City,Sunday,19,5.2
Before times,From City,Sunday,20,2.8666666666666667
Before times,From City,Sunday,21,0.3333333333333333
Before times,From City,Sunday,22,0.13333333333333333
Before times,From City,Sunday,23,0.13333333333333333
Before times,From City,Monday,0,0
Before times,From City,Monday,1,0
Before times,From City,Monday,2,0
Before times,From City,Monday,3,0.13333333333333333
Before times,From City,Monday,4,0.4
Before times,From City,Monday,5,2.6
Before times,From City,Monday,6,8.8
Before times,From City,Monday,7,51.53333333333333
Before times,From City,Monday,8,70.6
Before times,From City,Monday,9,26.866666666666667
Before times,From City,Monday,10,15.533333333333333
Before times,From City,Monday,11,12.6
Before times,From City,Monday,12,11.933333333333334
Before times,From City,Monday,13,11.866666666666667
Before times,From City,Monday,14,9.733333333333333
Before times,From City,Monday,15,11.2
Before times,From City,Monday,16,13.066666666666666
Before times,From City,Monday,17,12
Before times,From City,Monday,18,8.8
Before times,From City,Monday,19,5.6
Before times,From City,Monday,20,3.1333333333333333
Before times,From City,Monday,21,0.4666666666666667
Before times,From City,Monday,22,0.13333333333333333
Before times,From City,Monday,23,0
Before times,From City,Tuesday,0,0
Before times,From City,Tuesday,1,0
Before times,From City,Tuesday,2,0
Before times,From City,Tuesday,3,0.125
Before times,From City,Tuesday,4,0.375
Before times,From City,Tuesday,5,2.9375
Before times,From City,Tuesday,6,10.3125
Before times,From City,Tuesday,7,48.625
Before times,From City,Tuesday,8,61.625
Before times,From City,Tuesday,9,25.75
Before times,From City,Tuesday,10,14.375
Before times,From City,Tuesday,11,11.6875
Before times,From City,Tuesday,12,11.375
Before times,From City,Tuesday,13,20.1875
Before times,From City,Tuesday,14,11.75
Before times,From City,Tuesday,15,13.875
Before times,From City,Tuesday,16,12.0625
Before times,From City,Tuesday,17,10.6875
Before times,From City,Tuesday,18,9.25
Before times,From City,Tuesday,19,4.3125
Before times,From City,Tuesday,20,3
Before times,From City,Tuesday,21,0.75
