Date,Hour,From City,To City
2020-02-01,0,0,1
2020-02-01,1,0,0
2020-02-01,2,0,0
2020-02-01,3,0,0
2020-02-01,4,0,0
2020-02-01,5,0,0
2020-02-01,6,9,2
2020-02-01,7,13,4
2020-02-01,8,12,22
2020-02-01,9,17,15
2020-02-01,10,38,20
2020-02-01,11,18,18
2020-02-01,12,20,19
2020-02-01,13,20,6
2020-02-01,14,19,21
2020-02-01,15,15,16
2020-02-01,16,12,11
2020-02-01,17,7,14
2020-02-01,18,13,3
2020-02-01,19,8,12
2020-02-01,20,5,4
2020-02-01,21,3,1
2020-02-01,22,1,3
2020-02-01,23,0,0
2020-02-02,0,0,1
2020-02-02,1,0,0
2020-02-02,2,0,0
2020-02-02,3,0,0
2020-02-02,4,0,0
2020-02-02,5,1,0
2020-02-02,6,6,1
2020-02-02,7,9,3
2020-02-02,8,22,11
2020-02-02,9,17,17
2020-02-02,10,8,13
2020-02-02,11,17,10
2020-02-02,12,11,13
2020-02-02,13,18,9
2020-02-02,14,11,16
2020-02-02,15,22,13
2020-02-02,16,13,18
2020-02-02,17,12,12
2020-02-02,18,8,9
2020-02-02,19,5,6
2020-02-02,20,7,5
2020-02-02,21,1,2
2020-02-02,22,1,0
2020-02-02,23,0,0
2020-02-03,0,0,0
2020-02-03,1,0,0
2020-02-03,2,0,0
2020-02-03,3,0,0
2020-02-03,4,0,0
2020-02-03,5,8,1
2020-02-03,6,16,4
2020-02-03,7,56,8
2020-02-03,8,75,13
2020-02-03,9,37,6
2020-02-03,10,20,5
2020-02-03,11,13,7
2020-02-03,12,12,15
2020-02-03,13,7,8
2020-02-03,14,7,7
2020-02-03,15,8,22
2020-02-03,16,5,65
2020-02-03,17,14,82
2020-02-03,18,23,35
2020-02-03,19,17,14
2020-02-03,20,12,12
2020-02-03,21,3,3
2020-02-03,22,0,3
2020-02-03,23,0,0
2020-02-04,0,0,0
2020-02-04,1,0,0
2020-02-04,2,0,0
2020-02-04,3,0,0
2020-02-04,4,1,0
2020-02-04,5,5,3
2020-02-04,6,26,5
2020-02-04,7,71,9
2020-02-04,8,87,14
2020-02-04,9,26,5
2020-02-04,10,15,12
2020-02-04,11,16,6
2020-02-04,12,17,16
2020-02-04,13,10,11
2020-02-04,14,5,16
2020-02-04,15,7,22
2020-02-04,16,11,78
2020-02-04,17,14,82
2020-02-04,18,8,25
2020-02-04,19,10,12
2020-02-04,20,5,7
2020-02-04,21,0,0
2020-02-04,22,0,0
2020-02-04,23,0,0
2020-02-05,0,0,0
2020-02-05,1,0,0
2020-02-05,2,0,0
2020-02-05,3,0,0
2020-02-05,4,0,0
2020-02-05,5,5,0
2020-02-05,6,8,4
2020-02-05,7,61,8
2020-02-05,8,64,7
2020-02-05,9,27,5
2020-02-05,10,8,4
2020-02-05,11,21,3
2020-02-05,12,8,13
2020-02-05,13,16,12
2020-02-05,14,7,16
2020-02-05,15,6,26
2020-02-05,16,9,49
2020-02-05,17,11,69
2020-02-05,18,10,16
2020-02-05,19,11,18
2020-02-05,20,13,17
2020-02-05,21,3,3
2020-02-05,22,2,3
2020-02-05,23,0,2
2020-02-06,0,0,0
2020-02-06,1,0,0
2020-02-06,2,0,0
2020-02-06,3,0,0
2020-02-06,4,0,0
2020-02-06,5,0,0
2020-02-06,6,13,5
2020-02-06,7,14,9
2020-02-06,8,27,16
2020-02-06,9,25,23
2020-02-06,10,24,23
2020-02-06,11,38,29
2020-02-06,12,20,32
2020-02-06,13,16,22
2020-02-06,14,39,20
2020-02-06,15,13,43
2020-02-06,16,26,25
2020-02-06,17,20,26
2020-02-06,18,20,17
2020-02-06,19,14,11
2020-02-06,20,9,12
2020-02-06,21,5,3
2020-02-06,22,0,1
2020-02-06,23,0,0
2020-02-07,0,0,0
2020-02-07,1,0,0
2020-02-07,2,0,0
2020-02-07,3,0,0
2020-02-07,4,0,0
2020-02-07,5,7,0
2020-02-07,6,4,8
2020-02-07,7,41,6
2020-02-07,8,57,17
2020-02-07,9,32,7
2020-02-07,10,27,22
2020-02-07,11,14,22
2020-02-07,12,16,13
2020-02-07,13,20,18
2020-02-07,14,14,14
2020-02-07,15,12,16
2020-02-07,16,10,48
2020-02-07,17,31,64
2020-02-07,18,14,23
2020-02-07,19,20,20
2020-02-07,20,6,11
2020-02-07,21,1,3
