Timestamp,Word/Phrase 1,Word/Phrase 2,Word/Phrase 3
2023-07-03T15:10:16Z,Data Visualisation,Data Modelling,Probabilities
2023-07-03T22:39:05Z,Data,Figures,MS Excel lol
2023-07-04T22:07:02Z,analysis,interpretation,inference
2023-07-05T21:34:26Z,Data,Modelling,Story telling
2023-07-07T09:28:36Z,data,patterns and trends,prediction
2023-07-10T10:21:04Z,prediction,data,graphs
2023-07-10T17:22:22Z,Data,Graphs,Compilation
2023-07-11T10:19:32Z,DATA,MANAGEMENT,STATS
2023-07-11T12:55:16Z,percentage,tables,graphics
2023-07-11T13:06:31Z,Data,Graphs,Lines
2023-07-11T16:56:12Z,Graphs and plots,Data,Dicussion
2023-07-11T18:34:31Z,Data,Analysis,Presentation
2023-07-12T15:48:52Z,data,calculation,graph
2023-07-12T22:33:52Z,Gathering Data,Standard deviation,Summarising large amount of information
2023-07-13T18:01:45Z,storytelling,representation of numbers,working with data
2023-07-14T17:04:52Z,Graphs,probability,data analysis
2023-07-15T12:34:52Z,Analysis,chance,distributions
2023-07-16T10:15:02Z,Data,interpretation,graphs
2023-07-16T14:24:41Z,Numbers,Ratios,analysis
2023-07-16T17:11:06Z,analysis,data,inferring
2023-07-16T17:55:35Z,Linear Graphs,Numerical equations,Collection of data
2023-07-16T18:04:37Z,Probability,Numbers,Data
2023-07-16T23:14:36Z,data,charts,models
2023-07-17T09:26:37Z,challenging,overwhelming,necessary
2023-07-17T17:24:54Z,meaning out of information,data,analysis
2023-07-18T13:20:30Z,Data collection,Analysis,Visual comprehension
2023-07-19T14:48:57Z,Probability,Charts and diagrams,percentages and ratios
