Timestamp,Word/Phrase 1,Word/Phrase 2,Word/Phrase 3
7/17/2020 11:52:09,Data,Facts,Numbers
7/17/2020 15:52:04,Numbers,Graphs,Calculations
7/17/2020 17:10:03,probability,data analysis,pattern matching
7/17/2020 19:22:08,Data Analysis ,Collection of Data,Possible Improvements/ suggestions based on the data collection
7/17/2020 19:29:12,Data analysis,Graphs,Maths
7/17/2020 20:58:13,data,graph,reports
7/17/2020 23:40:43,Analysing data,Collating information in an easy to read way,Problem solving
7/18/2020 0:38:23,information,made relative to other information,presentation of possible relationships
7/18/2020 9:03:42,numbers,certainty,answers
7/18/2020 10:28:49,Data,Patterns ,Organised
7/18/2020 14:35:32,data,analysing,probability
7/18/2020 15:25:59,Data,Interpretation,Formulating
7/18/2020 21:42:25,data,calculate,analysis
7/19/2020 9:48:42,Calculations,Equations,Problem Solving
7/19/2020 11:03:25,Analysis ,Measurement,Trends
7/19/2020 12:30:22,Anaylsis,Data,Conclusions
7/19/2020 21:19:48,data ,presenting data in different ways ,interpretation/ meaning of data
7/20/2020 10:05:50,Data,Graph,numbers
7/20/2020 11:15:24,world,through,numbers
7/20/2020 11:41:55,Formulas,Excel,Analysis and interpretation of data 
7/20/2020 12:02:30,Determining the average from a data set,Presentation of data,Determining relevant variables
7/20/2020 13:41:43,Math,Analyse,Charts
7/20/2020 13:48:53,insight ,probability ,corelation  
7/20/2020 13:49:45,data,graph,managing big data
7/20/2020 13:50:14,data,insight,trends
7/20/2020 13:54:16,The least straight forward branch of math,Collection,Analysis
7/20/2020 14:03:11,Projection,Computation,Perspective
7/20/2020 15:46:36,Analysis,Predictions,Data Management
7/21/2020 9:17:21,Data,Number/probability/frequency ,Graph
7/21/2020 10:32:49,Data,Reports,Graphs
7/21/2020 13:42:29,summary,data,graphs
7/21/2020 14:26:46,Data,Graphs,Information
7/21/2020 16:56:32,Data,Information ,Maths
7/21/2020 20:00:25,Numbers,Tracking,Accuracy
7/21/2020 20:12:37,Charts,investigation,numbers
7/22/2020 10:15:39,fear,complex,complicated
7/22/2020 11:34:25,Graphs,Descriptions,Data
7/22/2020 16:17:06,Data,Stats,Surveys
7/22/2020 19:09:00,Data,Mathematics,analysis
